refName,realmRefName,userId,password,passwordPhrase,dataDomainToUserForNewFiles,rootDirectory,authenticationType,b2bMailboxUserProfileRef.refName,b2bMailboxUserProfileRef.dataDomain,b2bMailboxUserProfileRef.type,dataDomain,contactInfo.firstName,contactInfo.lastName,contactInfo.primaryEmail
ghurka-sarath31,admin@ghurka.com,sarath31,mypassword,enspire,com.ghurka,sftp/ghurka/sarath31,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath32,ghurka,sarath32,mypassword,enspire,com.ghurka,sftp/ghurka/sarath32,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath33,ghurka,sarath33,mypassword,enspire,com.ghurka,sftp/ghurka/sarath33,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath34,ghurka,sarath34,mypassword,enspire,com.ghurka,sftp/ghurka/sarath34,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath35,ghurka,sarath35,mypassword,enspire,com.ghurka,sftp/ghurka/sarath35,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath36,ghurka,sarath36,mypassword,enspire,com.ghurka,sftp/ghurka/sarath36,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath37,ghurka,sarath37,mypassword,enspire,com.ghurka,sftp/ghurka/sarath37,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath38,ghurka,sarath38,mypassword,enspire,com.ghurka,sftp/ghurka/sarath38,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath39,ghurka,sarath39,mypassword,enspire,com.ghurka,sftp/ghurka/sarath39,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath40,ghurka,sarath40,mypassword,enspire,com.ghurka,sftp/ghurka/sarath40,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath41,ghurka,sarath41,mypassword,enspire,com.ghurka,sftp/ghurka/sarath41,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath42,ghurka,sarath42,mypassword,enspire,com.ghurka,sftp/ghurka/sarath42,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath43,ghurka,sarath43,mypassword,enspire,com.ghurka,sftp/ghurka/sarath43,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath44,ghurka,sarath44,mypassword,enspire,com.ghurka,sftp/ghurka/sarath44,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath45,ghurka,sarath45,mypassword,enspire,com.ghurka,sftp/ghurka/sarath45,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath46,ghurka,sarath46,mypassword,enspire,com.ghurka,sftp/ghurka/sarath46,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath47,ghurka,sarath47,mypassword,enspire,com.ghurka,sftp/ghurka/sarath47,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath48,ghurka,sarath48,mypassword,enspire,com.ghurka,sftp/ghurka/sarath48,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath49,ghurka,sarath49,mypassword,enspire,com.ghurka,sftp/ghurka/sarath49,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
ghurka-sarath50,ghurka,sarath50,mypassword,enspire,com.ghurka,sftp/ghurka/sarath50,Password,admin@ghurka.com,com.ghurka,com.eis.core.api.v1.model.UserProfile,com.ghurka,B,S,sarathvs11@admin.com
