refName,realmRefName,userId,password,passwordPhrase,dataDomainToUserForNewFiles,rootDirectory,authenticationType,b2bMailboxUserProfileRef.refName,b2bMailboxUserProfileRef.dataDomain,b2bMailboxUserProfileRef.type,dataDomain,contactInfo.firstName,contactInfo.lastName,contactInfo.primaryEmail
thk-sarath31,admin@thk.com,sarath31,mypassword,enspire,com.thk,sftp/thk/sarath31,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath32,thk,sarath32,mypassword,enspire,com.thk,sftp/thk/sarath32,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath33,thk,sarath33,mypassword,enspire,com.thk,sftp/thk/sarath33,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath34,thk,sarath34,mypassword,enspire,com.thk,sftp/thk/sarath34,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath35,thk,sarath35,mypassword,enspire,com.thk,sftp/thk/sarath35,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath36,thk,sarath36,mypassword,enspire,com.thk,sftp/thk/sarath36,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath37,thk,sarath37,mypassword,enspire,com.thk,sftp/thk/sarath37,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath38,thk,sarath38,mypassword,enspire,com.thk,sftp/thk/sarath38,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath39,thk,sarath39,mypassword,enspire,com.thk,sftp/thk/sarath39,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath40,thk,sarath40,mypassword,enspire,com.thk,sftp/thk/sarath40,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath41,thk,sarath41,mypassword,enspire,com.thk,sftp/thk/sarath41,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath42,thk,sarath42,mypassword,enspire,com.thk,sftp/thk/sarath42,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath43,thk,sarath43,mypassword,enspire,com.thk,sftp/thk/sarath43,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath44,thk,sarath44,mypassword,enspire,com.thk,sftp/thk/sarath44,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath45,thk,sarath45,mypassword,enspire,com.thk,sftp/thk/sarath45,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath46,thk,sarath46,mypassword,enspire,com.thk,sftp/thk/sarath46,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath47,thk,sarath47,mypassword,enspire,com.thk,sftp/thk/sarath47,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath48,thk,sarath48,mypassword,enspire,com.thk,sftp/thk/sarath48,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath49,thk,sarath49,mypassword,enspire,com.thk,sftp/thk/sarath49,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
thk-sarath50,thk,sarath50,mypassword,enspire,com.thk,sftp/thk/sarath50,Password,admin@thk.com,com.thk,com.eis.core.api.v1.model.UserProfile,com.thk,B,S,sarathvs11@admin.com
